c,e,mse
0.003,0.026,0.13253736753827747
0.003,0.027,0.13260093160138056
0.003,0.028,0.13267109251740464
0.003,0.029,0.1326882967916512
0.003,0.03,0.13264491929385724
0.003,0.031,0.13260825118352912
0.003,0.032,0.1325725108725164
0.003,0.033,0.1325557645136778
0.003,0.034,0.13247853843049212
0.003,0.035,0.13244089604969428
0.003,0.036,0.13243094267438177
0.003,0.037,0.1325057054152982
0.003,0.038,0.13254549129464982
0.003,0.039,0.1325622295453736
0.003,0.04,0.13252428182202647
0.003,0.041,0.1324909484511955
0.003,0.042,0.1324618711920281
0.003,0.043,0.13248951888910335
0.003,0.044,0.13247816300833073
0.003,0.045,0.13251151890918128
0.003,0.046,0.1325297806702197
0.003,0.047,0.1325394607530292
0.003,0.048,0.13256020615837685
0.003,0.049,0.13252010167334405
0.003,0.05,0.13256845231151082
0.003,0.051,0.13265488016809568
0.003,0.052,0.13266491527477509
0.003,0.053,0.1326716865040649
0.003,0.054,0.1326319535543693
0.003,0.055,0.13261915035287014
0.003,0.056,0.1326030567782433
0.003,0.057,0.1327471455205177
0.003,0.058,0.13287980627862628
0.003,0.059,0.13297377921459586
0.003,0.06,0.13303834653261382
0.003,0.061,0.13301183235562358
0.003,0.062,0.13294914066235936
0.003,0.063,0.13290827327681387
0.003,0.064,0.13294231811298424
0.003,0.065,0.13305253270226836
0.003,0.066,0.13317900771033334
0.003,0.067,0.1332649352846613
0.003,0.068,0.13331525686696022
0.003,0.069,0.1333459171385915
0.003,0.07,0.1334158109345798
0.003,0.071,0.13351875000154195
0.003,0.072,0.13350841528983326
0.003,0.073,0.13354861045848362
0.003,0.074,0.133546297131501
0.003,0.075,0.13354715241624943
0.003,0.076,0.13345972449494992
0.003,0.077,0.13350276879295234
0.003,0.078,0.13353663367084836
0.003,0.079,0.13364212394489733
0.003,0.08,0.1337160375793164
0.003,0.081,0.13391366172167604
0.003,0.082,0.13394468536261228
0.003,0.083,0.13394387452501172
0.003,0.084,0.13400487183237514
0.003,0.085,0.13399237915822368
0.003,0.086,0.1340394528568742
0.003,0.087,0.1341701422513959
0.003,0.088,0.13422284412784913
0.003,0.089,0.1342293875743865
0.003,0.09,0.13427600684137203
0.003,0.091,0.13434673844010978
0.003,0.092,0.13438642146673205
0.003,0.093,0.13445043310391153
0.003,0.094,0.13449527569824937
0.003,0.095,0.1344874895483886
0.003,0.096,0.13448584982686954
0.003,0.097,0.13449953583701407
0.003,0.098,0.1344639380771531
0.003,0.099,0.13437890304512348
0.004,0.001,0.12799642854860774
0.004,0.002,0.12799269643434574
0.004,0.003,0.12798436224677281
0.004,0.004,0.12796942630475858
0.004,0.005,0.12799460185763306
0.004,0.006,0.1280905366383127
0.004,0.007,0.12811392094681254
0.004,0.008,0.1281278766620888
0.004,0.009,0.12816700067828693
0.004,0.01,0.12813401688072198
0.004,0.011,0.12820051898689613
0.004,0.012,0.12832917979213834
0.004,0.013,0.12852098635464582
0.004,0.014,0.12858730159072312
0.004,0.015,0.1286581887177634
0.004,0.016,0.1286696503142257
0.004,0.017,0.128596793182856
0.004,0.018,0.12858022912368722
0.004,0.019,0.1285927651168547
0.004,0.02,0.12860022446077696
0.004,0.021,0.12854585945868813
0.004,0.022,0.12850616571542997
0.004,0.023,0.12852822986082005
0.004,0.024,0.1284986959781719
0.004,0.025,0.12843071709839315
0.004,0.026,0.12844050278262972
0.004,0.027,0.12838439190228987
0.004,0.028,0.1283446425033146
0.004,0.029,0.12835980575312672
0.004,0.03,0.12836648993365116
0.004,0.031,0.12837482218584115
0.004,0.032,0.1283781474448469
0.004,0.033,0.12839062447166158
0.004,0.034,0.12840162538073052
0.004,0.035,0.12843158520162415
0.004,0.036,0.12843955208562247
0.004,0.037,0.12845586848265447
0.004,0.038,0.1284031890000801
0.004,0.039,0.1283123898930514
0.004,0.04,0.1282456462117969
0.004,0.041,0.12810240123457542
0.004,0.042,0.12807311197905968
0.004,0.043,0.1281248902687542
0.004,0.044,0.12817730491938292
